"","Judges","Candies"
"0111","01","1"
"0112","01","1"
"0113","01","1"
"1011","10","1"
"1012","10","1"
"1013","10","1"
"1111","11","1"
"1112","11","1"
"1113","11","1"
"0211","02","1"
"0212","02","1"
"0213","02","1"
"0311","03","1"
"0312","03","1"
"0313","03","1"
"0411","04","1"
"0412","04","1"
"0413","04","1"
"0511","05","1"
"0512","05","1"
"0513","05","1"
"0611","06","1"
"0612","06","1"
"0613","06","1"
"0711","07","1"
"0712","07","1"
"0713","07","1"
"0811","08","1"
"0812","08","1"
"0813","08","1"
"0911","09","1"
"0912","09","1"
"0913","09","1"
"0121","01","2"
"0122","01","2"
"0123","01","2"
"1021","10","2"
"1022","10","2"
"1023","10","2"
"1121","11","2"
"1122","11","2"
"1123","11","2"
"0221","02","2"
"0222","02","2"
"0223","02","2"
"0321","03","2"
"0322","03","2"
"0323","03","2"
"0421","04","2"
"0422","04","2"
"0423","04","2"
"0521","05","2"
"0522","05","2"
"0523","05","2"
"0621","06","2"
"0622","06","2"
"0623","06","2"
"0721","07","2"
"0722","07","2"
"0723","07","2"
"0821","08","2"
"0822","08","2"
"0823","08","2"
"0921","09","2"
"0922","09","2"
"0923","09","2"
"0131","01","3"
"0132","01","3"
"0133","01","3"
"1031","10","3"
"1032","10","3"
"1033","10","3"
"1131","11","3"
"1132","11","3"
"1133","11","3"
"0231","02","3"
"0232","02","3"
"0233","02","3"
"0331","03","3"
"0332","03","3"
"0333","03","3"
"0431","04","3"
"0432","04","3"
"0433","04","3"
"0531","05","3"
"0532","05","3"
"0533","05","3"
"0631","06","3"
"0632","06","3"
"0633","06","3"
"0731","07","3"
"0732","07","3"
"0733","07","3"
"0831","08","3"
"0832","08","3"
"0833","08","3"
"0931","09","3"
"0932","09","3"
"0933","09","3"
"0141","01","4"
"0142","01","4"
"0143","01","4"
"1041","10","4"
"1042","10","4"
"1043","10","4"
"1141","11","4"
"1142","11","4"
"1143","11","4"
"0241","02","4"
"0242","02","4"
"0243","02","4"
"0341","03","4"
"0342","03","4"
"0343","03","4"
"0441","04","4"
"0442","04","4"
"0443","04","4"
"0541","05","4"
"0542","05","4"
"0543","05","4"
"0641","06","4"
"0642","06","4"
"0643","06","4"
"0741","07","4"
"0742","07","4"
"0743","07","4"
"0841","08","4"
"0842","08","4"
"0843","08","4"
"0941","09","4"
"0942","09","4"
"0943","09","4"
"0151","01","5"
"0152","01","5"
"0153","01","5"
"1051","10","5"
"1052","10","5"
"1053","10","5"
"1151","11","5"
"1152","11","5"
"1153","11","5"
"0251","02","5"
"0252","02","5"
"0253","02","5"
"0351","03","5"
"0352","03","5"
"0353","03","5"
"0451","04","5"
"0452","04","5"
"0453","04","5"
"0551","05","5"
"0552","05","5"
"0553","05","5"
"0651","06","5"
"0652","06","5"
"0653","06","5"
"0751","07","5"
"0752","07","5"
"0753","07","5"
"0851","08","5"
"0852","08","5"
"0853","08","5"
"0951","09","5"
"0952","09","5"
"0953","09","5"
