"","Transp","Acid","Sweet","Raspb","Sugar","Bites","Hard","Elastic","Sticky"
"0111",4.8,2.1,13.5,10.35,12.75,10.05,3.9,1.65,1.65
"0112",2.7,6.3,13.65,12.6,12.15,4.65,2.25,2.1,3
"0113",2.85,4.8,7.8,2.85,11.4,3.9,3.6,2.7,3.15
"1011",3.15,0.3,14.25,14.4,14.4,3.75,6.15,4.2,6.45
"1012",3.75,0.45,14.4,14.4,13.95,7.35,1.65,0.45,1.8
"1013",0.45,1.65,14.1,10.35,13.95,4.05,1.5,1.2,4.05
"1111",0.15,0.9,14.7,13.95,14.55,1.95,0.75,0.6,0.75
"1112",0.15,0.15,14.4,1.05,11.25,2.1,4.05,1.65,4.2
"1113",0.3,3.15,10.05,13.5,11.55,0.15,0.9,2.7,3.6
"0211",12.75,0.3,0.3,0.15,14.7,0.3,0.75,0.15,0.15
"0212",0.15,0.75,14.85,14.55,13.35,2.85,2.7,0.45,0.6
"0213",0.6,0.75,14.25,12.9,13.2,1.95,2.1,0.3,0.3
"0311",5.1,2.7,9.15,13.8,13.5,3.45,3.3,3.3,1.5
"0312",3.3,1.95,13.05,11.55,13.2,4.65,3.75,1.8,2.85
"0313",12.6,4.05,11.7,12.9,13.2,5.55,4.2,2.55,6.15
"0411",0.9,0.75,13.95,12.15,13.95,1.95,1.8,1.5,0.9
"0412",0.6,1.2,14.25,14.25,14.1,2.25,1.8,1.05,1.8
"0413",0.3,0.45,14.4,14.4,14.7,0.75,0.45,0.9,1.2
"0511",0.3,7.5,11.4,10.35,13.8,0.6,2.4,1.65,2.25
"0512",0.15,12,12,12.15,9.9,2.55,4.05,4.05,1.05
"0513",0.15,6.75,10.65,5.1,7.05,2.1,4.05,3.9,2.55
"0611",3,3.75,12.45,10.8,12.75,3.45,3.15,2.7,2.7
"0612",2.25,5.4,12.6,11.25,11.85,4.35,4.2,3.6,2.7
"0613",2.25,5.25,12,9.15,12.15,2.85,3.3,3.45,3.45
"0711",0.45,13.95,14.25,13.95,14.55,0.75,0.9,0.75,0.75
"0712",0.3,13.65,13.95,13.35,12.9,0.75,0.75,0.9,0.6
"0713",2.25,1.05,13.95,13.65,9.75,11.7,11.25,13.2,13.65
"0811",1.5,0.45,11.85,9.6,11.7,0.9,1.95,1.35,1.65
"0812",0.45,1.5,14.55,12.9,13.05,1.2,0.9,1.8,2.85
"0813",1.95,2.1,14.25,13.5,12,5.25,1.35,1.35,4.5
"0911",0.9,4.5,12.9,10.95,13.5,3.3,1.65,0.75,1.65
"0912",0.45,11.7,12,11.7,14.7,3.15,2.55,1.35,1.05
"0913",0.75,12,12,8.25,14.7,2.4,1.5,1.5,1.65
"0121",13.5,1.65,12.6,1.05,1.2,13.2,13.05,12.9,13.05
"0122",13.35,3,5.55,1.05,2.1,13.5,13.2,13.2,12
"0123",12.75,3,2.25,1.5,1.65,13.65,12.9,12.9,11.7
"1021",12.75,7.35,0.6,0.45,0.15,14.55,12.6,14.1,11.1
"1022",13.8,8.55,0.6,1.05,0.45,14.85,14.55,14.55,14.55
"1023",14.7,5.7,0.45,4.05,0.15,14.25,12.6,13.35,4.65
"1121",15,4.5,0.3,0.15,0.15,14.25,14.55,14.1,14.1
"1122",15,4.35,3.6,4.05,0.15,15,14.25,10.35,15
"1123",14.85,4.65,5.25,5.7,0.15,12.75,14.85,14.85,12.3
"0221",14.85,1.05,3,2.85,0.15,6.9,5.85,14.25,14.4
"0222",14.85,2.85,1.2,1.65,0.3,7.5,9.15,13.8,13.35
"0223",14.55,3.3,5.25,0.45,0.15,8.1,13.8,13.8,13.8
"0321",14.55,3,1.35,2.4,0.6,11.55,13.2,12.9,13.65
"0322",14.7,13.05,4.5,3,0.3,13.5,13.65,10.95,8.7
"0323",14.4,10.05,5.85,3.9,0.15,12.45,14.1,10.8,12.75
"0421",14.55,1.8,0.9,0.45,0.3,15,14.7,14.25,13.95
"0422",14.4,2.4,1.5,0.75,0.6,14.55,14.7,14.85,14.7
"0423",14.7,1.2,1.05,1.35,1.5,14.7,14.85,14.25,5.7
"0521",2.25,7.05,9.6,1.5,0.45,11.55,13.95,13.35,14.25
"0522",14.1,9.3,12.3,12,1.05,14.4,13.35,12.6,9
"0523",10.8,6,6.6,6,0.3,15,15,15,4.8
"0621",13.35,3.45,3.3,1.2,1.2,13.05,13.05,11.55,13.2
"0622",12.75,3.45,3.75,3.6,3.6,12.75,12.3,12.15,12
"0623",13.2,4.65,4.5,2.7,1.65,13.05,12.15,12.45,13.2
"0721",10.35,3.3,0.75,4.2,0.6,11.85,12,12,11.85
"0722",14.4,13.65,0.75,1.65,0.45,14.25,14.1,14.1,14.4
"0723",14.1,13.35,0.6,13.05,0.75,13.8,13.65,13.8,13.95
"0821",14.7,2.55,1.35,0.75,0.6,13.35,12.45,1.8,12.6
"0822",14.4,1.2,1.8,0.9,0.3,13.5,12.3,14.25,14.1
"0823",11.7,1.65,4.8,2.1,0.75,14.1,13.5,14.25,5.55
"0921",14.4,1.95,1.05,1.2,0.3,14.55,14.25,14.1,14.85
"0922",14.4,2.4,4.35,2.7,0.45,14.7,14.4,14.55,14.7
"0923",14.7,0.9,1.8,1.05,0.3,14.85,15,14.85,15
"0131",13.35,1.8,13.8,3.75,1.05,13.5,13.2,13.05,12.3
"0132",13.8,1.95,9.6,4.95,1.05,13.5,13.2,12.9,11.7
"0133",13.35,2.25,3.3,3,1.5,9.9,10.2,9.6,12.9
"1031",11.4,0.45,6.6,1.35,0.3,12.3,12,14.4,9.75
"1032",14.7,0.75,3.3,3.45,0.3,13.95,12.75,13.65,8.7
"1033",12.3,1.5,0.6,0.6,0.45,14.7,14.55,14.55,13.8
"1131",12.9,1.05,6,5.55,0,15,15,15,12.45
"1132",10.05,0.6,8.85,8.55,0,15,14.85,12.6,5.4
"1133",13.5,2.25,9.9,10.35,0.15,14.1,13.5,14.1,8.4
"0231",14.7,0.6,2.1,0.3,0.15,14.7,14.7,14.85,14.4
"0232",7.5,0.3,10.2,11.4,0.15,10.5,13.35,14.25,14.1
"0233",14.4,0.15,3.75,1.05,0.15,12,13.8,13.2,12.15
"0331",7.95,9.3,3.3,4.2,1.2,11.85,12.6,8.85,8.7
"0332",11.4,1.2,1.35,4.5,3.15,12.45,14.4,10.8,13.65
"0333",9.45,3,9.3,4.95,0.3,12.6,10.8,10.05,9.45
"0431",14.55,1.35,1.5,2.1,0.6,14.85,14.7,14.85,13.95
"0432",14.4,1.65,1.2,0.75,1.2,15,15,14.85,14.7
"0433",14.55,1.2,0.6,1.2,0.3,14.1,14.25,14.4,6.45
"0531",7.5,12.45,14.1,12.45,2.4,14.25,13.5,15,15
"0532",7.65,4.5,4.5,7.65,0.3,8.4,8.7,11.55,11.85
"0533",7.35,2.25,7.5,6.6,0.3,13.65,13.2,13.5,10.05
"0631",12.75,3.45,3.3,3.75,1.2,12.6,12.15,12.3,11.7
"0632",12.75,3.75,3.3,2.7,1.05,12.9,12.75,13.35,13.35
"0633",13.05,3.75,5.1,3.15,0.75,12.6,12.6,12.6,12.75
"0731",14.4,0.45,0.45,0.45,0.3,14.1,13.95,13.8,14.25
"0732",11.7,13.2,0.75,3.9,0.6,14.25,13.95,14.25,14.55
"0733",7.35,13.35,13.35,2.7,0.45,14.4,14.1,14.1,13.8
"0831",14.4,1.2,13.95,0.75,0.3,13.65,13.5,14.1,13.65
"0832",6.45,0.75,9.9,0.6,2.7,10.35,10.05,13.05,14.4
"0833",13.95,0.45,1.5,0.6,0.3,13.2,13.05,12.3,13.2
"0931",11.85,0.75,4.35,2.85,1.05,12.9,12.3,12.75,14.4
"0932",11.7,3.9,9.6,7.05,0.45,14.25,14.1,14.4,15
"0933",9.9,7.2,9.45,8.55,1.05,14.1,15,15,15
"0141",14.1,1.65,4.35,1.8,1.05,13.5,13.5,13.35,12.6
"0142",13.8,1.5,3,1.05,1.2,13.5,13.2,13.2,12.3
"0143",13.65,1.95,2.25,1.5,0.9,12.75,12.45,11.85,12.45
"1041",14.85,0.45,0.3,0.3,0.3,14.85,14.85,14.85,14.85
"1042",14.7,3.3,0.9,6.75,0.6,10.05,10.65,12.75,13.35
"1043",12.15,0.9,0.9,2.85,0.75,11.55,11.85,13.95,8.85
"1141",15,0,0.3,0.15,0.15,15,15,5.1,15
"1142",12.9,0.3,5.25,0,0,15,14.85,15,7.95
"1143",15,0.3,9,0.15,0,14.7,14.1,14.85,9.6
"0241",0.15,0.15,0.15,0.15,0.15,7.35,4.5,14.25,4.2
"0242",14.85,0.6,1.5,1.65,0.15,3.9,5.55,3.6,5.85
"0243",14.4,0.75,0.9,0.45,0.3,14.1,14.1,14.55,14.25
"0341",13.5,0.45,4.05,0.45,0.6,13.65,12.75,11.25,9.75
"0342",11.1,1.95,2.1,1.65,0.15,13.65,11.85,12.9,5.25
"0343",12.75,3.3,7.35,4.2,0,14.85,14.7,14.25,12
"0441",14.4,1.95,0.6,1.05,0.6,14.85,14.85,14.85,13.65
"0442",14.7,1.8,0.75,1.95,0.6,14.7,14.85,14.7,4.2
"0443",14.85,1.35,0.9,1.05,1.2,14.7,14.4,14.85,14.7
"0541",13.2,1.5,8.1,2.1,0.75,14.85,11.85,12.3,9.6
"0542",10.2,7.05,7.05,7.2,0.3,12.9,14.55,12.9,8.55
